"replicate" "rate" "data" "gamma" "nu"
"1" "1" 0.70940170940171 "test" 1e-08 0.05
"2" "1" 0.719512195121951 "train" 1e-08 0.05
"3" "1" 0.539583333333333 "kif" 1e-08 0.05
"4" "1" 0 "test" 1e-08 0.1
"5" "1" 0 "train" 1e-08 0.1
"6" "1" 0 "kif" 1e-08 0.1
"7" "1" 0 "test" 1e-08 0.2
"8" "1" 0 "train" 1e-08 0.2
"9" "1" 0 "kif" 1e-08 0.2
"10" "1" 0.75 "test" 1e-07 0.05
"11" "1" 0.745934959349594 "train" 1e-07 0.05
"12" "1" 0.5875 "kif" 1e-07 0.05
"13" "1" 0.273504273504274 "test" 1e-07 0.1
"14" "1" 0.245934959349594 "train" 1e-07 0.1
"15" "1" 0.0875 "kif" 1e-07 0.1
"16" "1" 0.230769230769231 "test" 1e-07 0.2
"17" "1" 0.219512195121951 "train" 1e-07 0.2
"18" "1" 0.0875 "kif" 1e-07 0.2
"19" "1" 0.553418803418803 "test" 1e-06 0.05
"20" "1" 0.520325203252033 "train" 1e-06 0.05
"21" "1" 0.470833333333333 "kif" 1e-06 0.05
"22" "1" 0.235042735042735 "test" 1e-06 0.1
"23" "1" 0.24390243902439 "train" 1e-06 0.1
"24" "1" 0.289583333333333 "kif" 1e-06 0.1
"25" "1" 0.305555555555556 "test" 1e-06 0.2
"26" "1" 0.315040650406504 "train" 1e-06 0.2
"27" "1" 0.279166666666667 "kif" 1e-06 0.2
"28" "1" 0.935897435897436 "test" 1e-05 0.05
"29" "1" 0.94308943089431 "train" 1e-05 0.05
"30" "1" 0.891666666666667 "kif" 1e-05 0.05
"31" "1" 0.89957264957265 "test" 1e-05 0.1
"32" "1" 0.902439024390244 "train" 1e-05 0.1
"33" "1" 0.822916666666667 "kif" 1e-05 0.1
"34" "1" 0.799145299145299 "test" 1e-05 0.2
"35" "1" 0.792682926829268 "train" 1e-05 0.2
"36" "1" 0.669791666666667 "kif" 1e-05 0.2
"37" "1" 0.933760683760684 "test" 1e-04 0.05
"38" "1" 0.934959349593496 "train" 1e-04 0.05
"39" "1" 0.891666666666667 "kif" 1e-04 0.05
"40" "1" 0.895299145299145 "test" 1e-04 0.1
"41" "1" 0.886178861788618 "train" 1e-04 0.1
"42" "1" 0.803125 "kif" 1e-04 0.1
"43" "1" 0.799145299145299 "test" 1e-04 0.2
"44" "1" 0.790650406504065 "train" 1e-04 0.2
"45" "1" 0.66875 "kif" 1e-04 0.2
"46" "1" 0.931623931623932 "test" 0.001 0.05
"47" "1" 0.9369918699187 "train" 0.001 0.05
"48" "1" 0.889583333333333 "kif" 0.001 0.05
"49" "1" 0.893162393162393 "test" 0.001 0.1
"50" "1" 0.884146341463415 "train" 0.001 0.1
"51" "1" 0.797916666666667 "kif" 0.001 0.1
"52" "1" 0.794871794871795 "test" 0.001 0.2
"53" "1" 0.788617886178862 "train" 0.001 0.2
"54" "1" 0.659375 "kif" 0.001 0.2
"55" "1" 0.933760683760684 "test" 0.01 0.05
"56" "1" 0.934959349593496 "train" 0.01 0.05
"57" "1" 0.822916666666667 "kif" 0.01 0.05
"58" "1" 0.888888888888889 "test" 0.01 0.1
"59" "1" 0.888211382113821 "train" 0.01 0.1
"60" "1" 0.727083333333333 "kif" 0.01 0.1
"61" "1" 0.784188034188034 "test" 0.01 0.2
"62" "1" 0.790650406504065 "train" 0.01 0.2
"63" "1" 0.603125 "kif" 0.01 0.2
"64" "1" 0.952991452991453 "test" 0.1 0.05
"65" "1" 0.939024390243902 "train" 0.1 0.05
"66" "1" 0.670833333333333 "kif" 0.1 0.05
"67" "1" 0.901709401709402 "test" 0.1 0.1
"68" "1" 0.886178861788618 "train" 0.1 0.1
"69" "1" 0.445833333333333 "kif" 0.1 0.1
"70" "1" 0.818376068376068 "test" 0.1 0.2
"71" "1" 0.788617886178862 "train" 0.1 0.2
"72" "1" 0.29375 "kif" 0.1 0.2
"73" "1" 0.884615384615385 "test" 1 0.05
"74" "1" 0.920731707317073 "train" 1 0.05
"75" "1" 0.330208333333333 "kif" 1 0.05
"76" "1" 0.86965811965812 "test" 1 0.1
"77" "1" 0.888211382113821 "train" 1 0.1
"78" "1" 0.235416666666667 "kif" 1 0.1
"79" "1" 0.797008547008547 "test" 1 0.2
"80" "1" 0.794715447154472 "train" 1 0.2
"81" "1" 0.142708333333333 "kif" 1 0.2
"82" "1" 0.576923076923077 "test" 10 0.05
"83" "1" 0.76829268292683 "train" 10 0.05
"84" "1" 0.0208333333333333 "kif" 10 0.05
"85" "1" 0.576923076923077 "test" 10 0.1
"86" "1" 0.739837398373984 "train" 10 0.1
"87" "1" 0.0208333333333333 "kif" 10 0.1
"88" "1" 0.576923076923077 "test" 10 0.2
"89" "1" 0.776422764227642 "train" 10 0.2
"90" "1" 0.0208333333333333 "kif" 10 0.2
"91" "1" 0.00641025641025641 "test" 100 0.05
"92" "1" 0.445121951219512 "train" 100 0.05
"93" "1" 0 "kif" 100 0.05
"94" "1" 0.00641025641025641 "test" 100 0.1
"95" "1" 0.410569105691057 "train" 100 0.1
"96" "1" 0 "kif" 100 0.1
"97" "1" 0.00854700854700855 "test" 100 0.2
"98" "1" 0.530487804878049 "train" 100 0.2
"99" "1" 0 "kif" 100 0.2
"100" "1" 0 "test" 1000 0.05
"101" "1" 0.300813008130081 "train" 1000 0.05
"102" "1" 0 "kif" 1000 0.05
"103" "1" 0 "test" 1000 0.1
"104" "1" 0.579268292682927 "train" 1000 0.1
"105" "1" 0 "kif" 1000 0.1
"106" "1" 0 "test" 1000 0.2
"107" "1" 0.282520325203252 "train" 1000 0.2
"108" "1" 0 "kif" 1000 0.2
"109" "1" 0 "test" 10000 0.05
"110" "1" 0.197154471544715 "train" 10000 0.05
"111" "1" 0 "kif" 10000 0.05
"112" "1" 0 "test" 10000 0.1
"113" "1" 0.394308943089431 "train" 10000 0.1
"114" "1" 0 "kif" 10000 0.1
"115" "1" 0 "test" 10000 0.2
"116" "1" 0.788617886178862 "train" 10000 0.2
"117" "1" 0 "kif" 10000 0.2
"118" "1" 0 "test" 1e+05 0.05
"119" "1" 0.197154471544715 "train" 1e+05 0.05
"120" "1" 0 "kif" 1e+05 0.05
"121" "1" 0 "test" 1e+05 0.1
"122" "1" 0.394308943089431 "train" 1e+05 0.1
"123" "1" 0 "kif" 1e+05 0.1
"124" "1" 0 "test" 1e+05 0.2
"125" "1" 0.788617886178862 "train" 1e+05 0.2
"126" "1" 0 "kif" 1e+05 0.2
"127" "2" 0.450617283950617 "test" 1e-08 0.05
"128" "2" 0.436708860759494 "train" 1e-08 0.05
"129" "2" 0.0875 "kif" 1e-08 0.05
"130" "2" 0.370370370370370 "test" 1e-08 0.1
"131" "2" 0.356540084388186 "train" 1e-08 0.1
"132" "2" 0.0354166666666667 "kif" 1e-08 0.1
"133" "2" 0 "test" 1e-08 0.2
"134" "2" 0 "train" 1e-08 0.2
"135" "2" 0 "kif" 1e-08 0.2
"136" "2" 0.625514403292181 "test" 1e-07 0.05
"137" "2" 0.550632911392405 "train" 1e-07 0.05
"138" "2" 0.221875 "kif" 1e-07 0.05
"139" "2" 0.162551440329218 "test" 1e-07 0.1
"140" "2" 0.107594936708861 "train" 1e-07 0.1
"141" "2" 0.0291666666666667 "kif" 1e-07 0.1
"142" "2" 0.271604938271605 "test" 1e-07 0.2
"143" "2" 0.263713080168776 "train" 1e-07 0.2
"144" "2" 0.0447916666666667 "kif" 1e-07 0.2
"145" "2" 0.82716049382716 "test" 1e-06 0.05
