"replicate" "rate" "data" "gamma" "nu"
"1" "1" 0.70940170940171 "test" 1e-08 0.05
"2" "1" 0.719512195121951 "train" 1e-08 0.05
"3" "1" 0 "test" 1e-08 0.1
"4" "1" 0 "train" 1e-08 0.1
"5" "1" 0 "test" 1e-08 0.2
"6" "1" 0 "train" 1e-08 0.2
"7" "1" 0.75 "test" 1e-07 0.05
"8" "1" 0.745934959349594 "train" 1e-07 0.05
"9" "1" 0.273504273504274 "test" 1e-07 0.1
"10" "1" 0.245934959349594 "train" 1e-07 0.1
"11" "1" 0.230769230769231 "test" 1e-07 0.2
"12" "1" 0.219512195121951 "train" 1e-07 0.2
"13" "1" 0.553418803418803 "test" 1e-06 0.05
"14" "1" 0.520325203252033 "train" 1e-06 0.05
"15" "1" 0.235042735042735 "test" 1e-06 0.1
"16" "1" 0.24390243902439 "train" 1e-06 0.1
"17" "1" 0.305555555555556 "test" 1e-06 0.2
"18" "1" 0.315040650406504 "train" 1e-06 0.2
"19" "1" 0.935897435897436 "test" 1e-05 0.05
"20" "1" 0.94308943089431 "train" 1e-05 0.05
"21" "1" 0.89957264957265 "test" 1e-05 0.1
"22" "1" 0.902439024390244 "train" 1e-05 0.1
"23" "1" 0.799145299145299 "test" 1e-05 0.2
"24" "1" 0.792682926829268 "train" 1e-05 0.2
"25" "1" 0.933760683760684 "test" 1e-04 0.05
"26" "1" 0.934959349593496 "train" 1e-04 0.05
"27" "1" 0.895299145299145 "test" 1e-04 0.1
"28" "1" 0.886178861788618 "train" 1e-04 0.1
"29" "1" 0.799145299145299 "test" 1e-04 0.2
"30" "1" 0.790650406504065 "train" 1e-04 0.2
"31" "1" 0.931623931623932 "test" 0.001 0.05
"32" "1" 0.9369918699187 "train" 0.001 0.05
"33" "1" 0.893162393162393 "test" 0.001 0.1
"34" "1" 0.884146341463415 "train" 0.001 0.1
"35" "1" 0.794871794871795 "test" 0.001 0.2
"36" "1" 0.788617886178862 "train" 0.001 0.2
"37" "1" 0.933760683760684 "test" 0.01 0.05
"38" "1" 0.934959349593496 "train" 0.01 0.05
"39" "1" 0.888888888888889 "test" 0.01 0.1
"40" "1" 0.888211382113821 "train" 0.01 0.1
"41" "1" 0.784188034188034 "test" 0.01 0.2
"42" "1" 0.790650406504065 "train" 0.01 0.2
"43" "1" 0.952991452991453 "test" 0.1 0.05
"44" "1" 0.939024390243902 "train" 0.1 0.05
"45" "1" 0.901709401709402 "test" 0.1 0.1
"46" "1" 0.886178861788618 "train" 0.1 0.1
"47" "1" 0.818376068376068 "test" 0.1 0.2
"48" "1" 0.788617886178862 "train" 0.1 0.2
"49" "1" 0.884615384615385 "test" 1 0.05
"50" "1" 0.920731707317073 "train" 1 0.05
"51" "1" 0.86965811965812 "test" 1 0.1
"52" "1" 0.888211382113821 "train" 1 0.1
"53" "1" 0.797008547008547 "test" 1 0.2
"54" "1" 0.794715447154472 "train" 1 0.2
"55" "1" 0.576923076923077 "test" 10 0.05
"56" "1" 0.76829268292683 "train" 10 0.05
"57" "1" 0.576923076923077 "test" 10 0.1
"58" "1" 0.739837398373984 "train" 10 0.1
"59" "1" 0.576923076923077 "test" 10 0.2
"60" "1" 0.776422764227642 "train" 10 0.2
"61" "1" 0.00641025641025641 "test" 100 0.05
"62" "1" 0.445121951219512 "train" 100 0.05
"63" "1" 0.00641025641025641 "test" 100 0.1
"64" "1" 0.410569105691057 "train" 100 0.1
"65" "1" 0.00854700854700855 "test" 100 0.2
"66" "1" 0.530487804878049 "train" 100 0.2
"67" "1" 0 "test" 1000 0.05
"68" "1" 0.300813008130081 "train" 1000 0.05
"69" "1" 0 "test" 1000 0.1
"70" "1" 0.579268292682927 "train" 1000 0.1
"71" "1" 0 "test" 1000 0.2
"72" "1" 0.282520325203252 "train" 1000 0.2
"73" "1" 0 "test" 10000 0.05
"74" "1" 0.197154471544715 "train" 10000 0.05
"75" "1" 0 "test" 10000 0.1
"76" "1" 0.394308943089431 "train" 10000 0.1
"77" "1" 0 "test" 10000 0.2
"78" "1" 0.788617886178862 "train" 10000 0.2
"79" "1" 0 "test" 1e+05 0.05
"80" "1" 0.197154471544715 "train" 1e+05 0.05
"81" "1" 0 "test" 1e+05 0.1
"82" "1" 0.394308943089431 "train" 1e+05 0.1
"83" "1" 0 "test" 1e+05 0.2
"84" "1" 0.788617886178862 "train" 1e+05 0.2
"85" "2" 0.450617283950617 "test" 1e-08 0.05
"86" "2" 0.436708860759494 "train" 1e-08 0.05
"87" "2" 0.370370370370370 "test" 1e-08 0.1
"88" "2" 0.356540084388186 "train" 1e-08 0.1
"89" "2" 0 "test" 1e-08 0.2
"90" "2" 0 "train" 1e-08 0.2
"91" "2" 0.625514403292181 "test" 1e-07 0.05
"92" "2" 0.550632911392405 "train" 1e-07 0.05
"93" "2" 0.162551440329218 "test" 1e-07 0.1
"94" "2" 0.107594936708861 "train" 1e-07 0.1
"95" "2" 0.271604938271605 "test" 1e-07 0.2
"96" "2" 0.263713080168776 "train" 1e-07 0.2
"97" "2" 0.82716049382716 "test" 1e-06 0.05
"98" "2" 0.776371308016878 "train" 1e-06 0.05
"99" "2" 0.0946502057613169 "test" 1e-06 0.1
"100" "2" 0.0864978902953586 "train" 1e-06 0.1
"101" "2" 0.481481481481481 "test" 1e-06 0.2
"102" "2" 0.451476793248945 "train" 1e-06 0.2
"103" "2" 0.944444444444444 "test" 1e-05 0.05
"104" "2" 0.928270042194093 "train" 1e-05 0.05
"105" "2" 0.89917695473251 "test" 1e-05 0.1
"106" "2" 0.883966244725738 "train" 1e-05 0.1
"107" "2" 0.835390946502058 "test" 1e-05 0.2
"108" "2" 0.79535864978903 "train" 1e-05 0.2
"109" "2" 0.944444444444444 "test" 1e-04 0.05
"110" "2" 0.928270042194093 "train" 1e-04 0.05
"111" "2" 0.897119341563786 "test" 1e-04 0.1
"112" "2" 0.881856540084388 "train" 1e-04 0.1
"113" "2" 0.833333333333333 "test" 1e-04 0.2
"114" "2" 0.780590717299578 "train" 1e-04 0.2
"115" "2" 0.944444444444444 "test" 0.001 0.05
"116" "2" 0.932489451476793 "train" 0.001 0.05
"117" "2" 0.897119341563786 "test" 0.001 0.1
"118" "2" 0.881856540084388 "train" 0.001 0.1
"119" "2" 0.833333333333333 "test" 0.001 0.2
"120" "2" 0.782700421940928 "train" 0.001 0.2
"121" "2" 0.948559670781893 "test" 0.01 0.05
"122" "2" 0.930379746835443 "train" 0.01 0.05
"123" "2" 0.893004115226337 "test" 0.01 0.1
"124" "2" 0.879746835443038 "train" 0.01 0.1
"125" "2" 0.843621399176955 "test" 0.01 0.2
"126" "2" 0.784810126582278 "train" 0.01 0.2
"127" "2" 0.925925925925926 "test" 0.1 0.05
"128" "2" 0.930379746835443 "train" 0.1 0.05
"129" "2" 0.893004115226337 "test" 0.1 0.1
"130" "2" 0.877637130801688 "train" 0.1 0.1
"131" "2" 0.806584362139918 "test" 0.1 0.2
"132" "2" 0.784810126582278 "train" 0.1 0.2
"133" "2" 0.864197530864197 "test" 1 0.05
"134" "2" 0.915611814345992 "train" 1 0.05
"135" "2" 0.845679012345679 "test" 1 0.1
"136" "2" 0.871308016877637 "train" 1 0.1
"137" "2" 0.790123456790123 "test" 1 0.2
"138" "2" 0.780590717299578 "train" 1 0.2
"139" "2" 0.473251028806584 "test" 10 0.05
"140" "2" 0.734177215189873 "train" 10 0.05
"141" "2" 0.475308641975309 "test" 10 0.1
"142" "2" 0.677215189873418 "train" 10 0.1
"143" "2" 0.475308641975309 "test" 10 0.2
